


































































500;2214
























































2421;5168



3683;6644;7134;8449
































2864;7637








































































4218;7865






































3745























2701







6817










7200














4634;6244;6370













































5891












































513;608










3341








2087;7077










































1717














67;2214












422;608






























































































422;513



5888;7280

























































































































998
































































































































































































































3235























1031;5100;6084;7812














734
































983;5100;6084;7812

















3836














































































1380;3863























6716;7103





3025































