































174;3316










4382



1632;3534



















































































1501;2319;6977
















2368;3602



7530





















32;3316










1882









1147;1361






















3480;5821






1399;2129

380









2958;4569


2130
403;853;2150;3581;6081

























1355;3693;5061;5877;6447











7303









5098





4345






6272

























7069;8164
2716











1305;2124





1006;1840


4286



3331;8756







380;388;2974

















227;362;388;2974







362;380;2974














241;3581




















6709




























5807
















































8216






3009


































5309





3454;3763






















































































































1149;5953;8298;8311






















































































































1294;4256;6176



1846;2108;7403




























































241;2150;6081






















































































