































2443










1461;6896










































1905




























1047;1419;2212







2629;3375;4697;5889;6690
























2368;3602;4328

6541


































1017;2074;7262

















515















980;6605







4343
























1835


























7298;7403



















6566
5901









4228












409
































6792





2974

































5930












323













































































2016


















5244








203









































































1397;2167;2972


































6095
















7220















2685















3348;3543











































































7293;8813

























2681;7846












5612;8099

































































































1145;1974;4009















5776;6686;7602





5041






















1344;6688
















































219;6605




































185;2074;7262





























115;1419;2212







6294;6324



1071

2980



6314





1059




1125






















2195;7124










1812














1076

3499

2686;3647;7815















886;1974;4009

























































8691





1999;2047;6214





























































6914
























4162








4622;6116;7280;8190
















2972;6232











2093









931;6688



























4435



1445;5008;5224







3059;4994











3341
589;2972







4620













115;1047;2212


3484






















1376;5008;5224















43;6896





















































5675
































1603













































7021








1548



2801;3282;5129;6581

























































3696;5172

6673
























8362





























































3121;3811;5793

4966;6215;7251



2444;2713;4962






2420;3702












































1110














5899







252




7834;8633





4547;4937;6081


























































86


































































1979;6626;7138

886;1145;4009




1972;6626;7138














7780




1209;2047;6214
















487






























1209;1999;6214


























185;1017;7262











5899;6181;6588






1334

























7287






























7069




6591











589












7284














1099;7124
















115;1047;1419



























































































































































148;3602;4328















5999



















4577;4636;6244















1767;3702






















32
1760



2704;2710





3608





































































































































4270;6556





























4722










123;5889;6690








































8207





4256




775;7846



657
1129;3647;7815

















2448;2710





2448;2704


1760;3497;4962



















5244;6189






















7049












































1607;3282;5129;6581










































































































































































589;1322;1397;5909;6232

362





1061




4900





























7329











































1384;4994



























3617












7874









3681









4183;5052;5435;7189;7292
1754;3811;5793










3566


















































































4454




























4466





































1607;2801;5129;6581

